Band/Network (1/3);Reverberation;Reverberation - (#1 T30);Reverberation - (#2 T30)
50 Hz;3.25;3.27;3.22
63 Hz;2.98;3.14;2.81
80 Hz;2.85;3.22;2.47
100 Hz;2.16;2.25;2.06
125 Hz;2.12;2.23;2.01
160 Hz;1.60;1.68;1.51
200 Hz;1.73;1.71;1.74
250 Hz;1.63;1.73;1.53
315 Hz;1.63;1.70;1.55
400 Hz;1.68;1.66;1.70
500 Hz;1.66;1.58;1.74
630 Hz;1.59;1.54;1.63
800 Hz;1.67;1.65;1.69
1 kHz;1.55;1.54;1.55
1.25 kHz;1.52;1.50;1.53
1.6 kHz;1.42;1.42;1.41
2 kHz;1.32;1.31;1.33
2.5 kHz;1.35;1.33;1.36
3.15 kHz;1.25;1.27;1.23
4 kHz;1.19;1.15;1.22
5 kHz;0.97;0.92;1.01
